,date,prec,snow,temp,aqi,co,no2,o3,pm10,pm,so2,t_asign,treat,hubei,day,month,year,daynum,north,city_code
365,20200101,0.433082377,51.2394012,-6.2366734,52.416668,0.6716667,44.291668,13.708333,47.125,28.25,6.125,1,0,0,1,1,2020,8401,1,54613
366,20200102,0.395047852,51.71553957,-3.6370258,70.583336,1.0025,54.833332,10.5,68.208336,42.583332,7.4583335,1,0,0,2,1,2020,8402,1,54613
367,20200103,0.438016065,54.32393367,-0.86305463,70.083336,1.22,64.25,15.958333,77.333336,50.916668,7.3333335,1,0,0,3,1,2020,8403,1,54613
368,20200104,0.912422335,61.26152736,-2.0189233,61.291668,1.2225,62.5,24.291666,72.125,50.541668,8.833333,1,0,0,4,1,2020,8404,1,54613
369,20200105,46.81525848,37.55680958,0.91604376,86.583336,1.1595833,59.916668,12.25,69.833336,49.291668,6.7083335,1,0,0,5,1,2020,8405,1,54613
370,20200106,7.497358139,70.19545235,-0.7492798,77.083336,1.11375,55.875,18.833334,49.041668,58.958332,4.5416665,1,0,0,6,1,2020,8406,1,54613
371,20200107,3.577412331,53.39791997,-3.353665,23.25,0.64625,31.958334,58.833332,25.083334,34.041668,3.7916667,1,0,0,7,1,2020,8407,1,54613
372,20200108,1.148505693,32.27747421,-3.4438035,28.583334,0.37333333,21.333334,61.333332,18.666666,11.75,3.7916667,1,0,0,8,1,2020,8408,1,54613
373,20200109,0.674407325,69.8246213,-3.707177,49.791668,0.6191667,41.083332,30.416666,30.791666,24.208334,5.125,1,0,0,9,1,2020,8409,1,54613
374,20200110,1.211372165,72.93361996,-1.1818169,42.833332,0.8145833,47.833332,34.75,43.791668,39.083332,7.0416665,1,0,0,10,1,2020,8410,1,54613
375,20200111,3.256003408,68.55679925,-2.8924527,22.583334,0.39333335,21.125,59.5,22.333334,13.666667,4.7083335,1,0,0,11,1,2020,8411,1,54613
376,20200112,0.621429272,68.15393732,-5.3644133,30.208334,0.45374998,32.708332,33,23.833334,15.291667,5.0416665,1,0,0,12,1,2020,8412,1,54613
377,20200113,0.161558638,67.52041248,-5.4845467,22.375,0.43208334,23.208334,53.5,23.5,15.25,6,1,0,0,13,1,2020,8413,1,54613
378,20200114,0.987220373,64.58821743,-6.908367,27.666666,0.365,20.333334,53.166668,20.833334,11.541667,4,1,0,0,14,1,2020,8414,1,54613
379,20200115,1.656336694,64.04183525,-7.248985,65.041664,0.6408333,43.375,20.25,38.791668,29.083334,5.2916665,1,0,0,15,1,2020,8415,1,54613
380,20200116,1.045811796,57.55703751,-5.7164817,59.416668,0.91375,52.625,34.791668,56.583332,50.791668,7.1666665,1,0,0,16,1,2020,8416,1,54613
381,20200117,0.365377745,77.75431587,-5.4957867,89.583336,1.195,54.541668,18.708334,58.75,49.208332,9.791667,1,0,0,17,1,2020,8417,1,54613
382,20200118,0.375821019,67.18868144,-4.1576004,191.33333,1.7066667,66.75,19.166666,111.333336,110.708336,8.75,1,0,0,18,1,2020,8418,1,54613
383,20200119,2.191020895,61.38039762,-4.081419,61.958332,1.2466667,40.583332,65.583336,113.875,93.125,2.8333333,1,0,0,19,1,2020,8419,1,54613
