city_code,city,province_code,province
2414,Harbin,230,Heilongjiang
3547,Benxi,210,Liaoning
4870,Wuhu,340,Anhui
4956,Fuyang,340,Anhui
5993,Chongqing,500,Chongqing
5996,Maanshan,340,Anhui
6124,Tianjin,120,Tianjin
6145,Chengde,130,Hebei
6270,Mianyang,510,Sichuan
7765,Ordos,150,Inner Mogolia
8027,Ankang,610,Shaanxi
8131,Chaoyang,210,Liaoning
8615,Xinzhou,140,Shanxi
8775,Weihai,370,Shandong
9121,Baoshan,530,Yunnan
9715,Tieling,210,Liaoning
11242,Wuhai,150,Inner Mogolia
11788,Shigatse,540,Tibet
11975,Putian,350,Fujian
12143,Jiuquan,620,Gansu
12834,Qiqihar,230,Heilongjiang
13457,Huangshan,340,Anhui
14042,Yichun,360,Jiangxi
14287,Chizhou,340,Anhui
14333,Changzhou,320,Jiangsu
14529,Jincheng,140,Shanxi
14781,Jiamusi,230,Heilongjiang
14784,Bazhong,510,Sichuan
14861,Wenshan Zhuang and Miao Autonomous Prefecture,530,Yunnan
14883,Xilingol League,150,Inner Mongolia
15195,Jining,370,Shandong
15785,Chuxiong Yi Autonomous Prefecture,530,Yunnan
15842,Fushun,210,Liaoning
16078,Altay Prefecture,650,Xinjiang
16114,Jilin,220,Jilin
16213,Longyan,350,Fujian
16523,Chifeng,150,Inner Mongolia
16871,Jinmen,420,Hubei
17115,Siping,220,Jilin
17301,Zhangzhou,350,Fujian
17450,Jiujiang,360,Jiangxi
17564,Shangqiu,410,Henan
17604,Urumqi,650,Xinjiang
17881,Yibin,510,Sichuan
18375,Chenzhou,430,Hunan
18404,Jian,360,Jiangxi
18469,Golog Tibetan Autonomous Prefecture,630,Qinhai
18799,Yushu Tibetan Autonomous Prefecture,630,Qinhai
19482,Yichang,420,Hubei
19658,Zhaoqing,440,Guangdong
19673,Qingyuan,440,Guangdong
19948,Zhengzhou,410,Henan
20402,Anshun,520,Guizhou
20585,Tangshan,130,Hebei
20846,Zhangye,620,Gansu
21133,Panzhihua,510,Sichuan
21172,Pingliang,620,Gansu
21285,Kunming,530,Yunnan
21740,Taizhou,330,Zhejiang
22044,Guilin,450,Guangxi
22294,Yangquan,140,Shanxi
22894,Zibo,370,Shandong
23204,Shihezi,650,Xinjiang
23205,Wenzhou,330,Zhejiang
23335,Liupanshui,520,Guizhou
23427,Huainan,340,Anhui
24371,Shangluo,610,Shaanxi
25564,Nanning,450,Guangxi
27494,Bangbu,340,Anhui
27725,Xuchang,410,Henan
27952,Bortala Mongol Autonomous Prefecture,650,Xinjiang
28458,Nagqu,540,Tibet
