City_code,lockdown_daynum,-1 week,-2 week,-3 week,-4 week,-5 week,1 week,2 week,3 week, 4 week,5 week
54613,8441,8434,8427,8420,8413,8406,8448,8455,8462,8469,8476
6124,8437,8430,8423,8416,8409,8402,8444,8451,8458,8465,8472
71005,8437,8430,8423,8416,8409,8402,8444,8451,8458,8465,8472
20585,8428,8421,8414,8407,8400,8393,8435,8442,8449,8456,8463
41928,8425,8418,8411,8404,8397,8390,8432,8439,8446,8453,8460
93580,8433,8426,8419,8412,8405,8398,8440,8447,8454,8461,8468
39753,8440,8433,8426,8419,8412,8405,8447,8454,8461,8468,8475
40732,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
90724,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
37206,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
15842,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
3547,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
32077,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
75399,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
41887,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
59283,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
44687,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
9715,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
8131,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
70480,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
2414,8435,8428,8421,8414,8407,8400,8442,8449,8456,8463,8470
93997,8441,8434,8427,8420,8413,8406,8448,8455,8462,8469,8476
44998,8435,8428,8421,8414,8407,8400,8442,8449,8456,8463,8470
93779,8437,8430,8423,8416,8409,8402,8444,8451,8458,8465,8472
39975,8435,8428,8421,8414,8407,8400,8442,8449,8456,8463,8470
14333,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
73969,8435,8428,8421,8414,8407,8400,8442,8449,8456,8463,8470
33655,8435,8428,8421,8414,8407,8400,8442,8449,8456,8463,8470
70802,8435,8428,8421,8414,8407,8400,8442,8449,8456,8463,8470
23205,8433,8426,8419,8412,8405,8398,8440,8447,8454,8461,8468
67987,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
63994,8434,8427,8420,8413,8406,8399,8441,8448,8455,8462,8469
90542,8456,8449,8442,8435,8428,8421,8463,8470,8477,8484,8491
80521,8435,8428,8421,8414,8407,8400,8442,8449,8456,8463,8470
85766,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
91749,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
64881,8435,8428,8421,8414,8407,8400,8442,8449,8456,8463,8470
49590,8437,8430,8423,8416,8409,8402,8444,8451,8458,8465,8472
17450,8437,8430,8423,8416,8409,8402,8444,8451,8458,8465,8472
88164,8437,8430,8423,8416,8409,8402,8444,8451,8458,8465,8472
30343,8437,8430,8423,8416,8409,8402,8444,8451,8458,8465,8472
89261,8437,8430,8423,8416,8409,8402,8444,8451,8458,8465,8472
18404,8437,8430,8423,8416,8409,8402,8444,8451,8458,8465,8472
14042,8437,8430,8423,8416,8409,8402,8444,8451,8458,8465,8472
49603,8437,8430,8423,8416,8409,8402,8444,8451,8458,8465,8472
62265,8437,8430,8423,8416,8409,8402,8444,8451,8458,8465,8472
78395,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
39012,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
57095,8435,8428,8421,8414,8407,8400,8442,8449,8456,8463,8470
96057,8430,8423,8416,8409,8402,8395,8437,8444,8451,8458,8465
15195,8434,8427,8420,8413,8406,8399,8441,8448,8455,8462,8469
86298,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
101156,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
35014,8434,8427,8420,8413,8406,8399,8441,8448,8455,8462,8469
33465,8435,8428,8421,8414,8407,8400,8442,8449,8456,8463,8470
19948,8435,8428,8421,8414,8407,8400,8442,8449,8456,8463,8470
103238,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
82415,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
44447,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
97444,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
29745,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
95404,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
39954,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
52323,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
27725,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
93791,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
99633,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
65211,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
17564,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
63964,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
53348,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
100197,8435,8428,8421,8414,8407,8400,8442,8449,8456,8463,8470
55521,8423,8416,8409,8402,8395,8388,8430,8437,8444,8451,8458
62661,8424,8417,8410,8403,8396,8389,8431,8438,8445,8452,8459
35583,8424,8417,8410,8403,8396,8389,8431,8438,8445,8452,8459
19482,8424,8417,8410,8403,8396,8389,8431,8438,8445,8452,8459
47088,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
44739,8424,8417,8410,8403,8396,8389,8431,8438,8445,8452,8459
16871,8424,8417,8410,8403,8396,8389,8431,8438,8445,8452,8459
100430,8424,8417,8410,8403,8396,8389,8431,8438,8445,8452,8459
36764,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
99238,8424,8417,8410,8403,8396,8389,8431,8438,8445,8452,8459
91051,8424,8417,8410,8403,8396,8389,8431,8438,8445,8452,8459
39466,8425,8418,8411,8404,8397,8390,8432,8439,8446,8453,8460
54348,8424,8417,8410,8403,8396,8389,8431,8438,8445,8452,8459
36093,8438,8431,8424,8417,8410,8403,8445,8452,8459,8466,8473
53747,8439,8432,8425,8418,8411,8404,8446,8453,8460,8467,8474
25564,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
5993,8431,8424,8417,8410,8403,8396,8438,8445,8452,8459,8466
56806,8437,8430,8423,8416,8409,8402,8444,8451,8458,8465,8472
17881,8437,8430,8423,8416,8409,8402,8444,8451,8458,8465,8472
21285,8436,8429,8422,8415,8408,8401,8443,8450,8457,8464,8471
55714,8431,8424,8417,8410,8403,8396,8438,8445,8452,8459,8466
41982,8431,8424,8417,8410,8403,8396,8438,8445,8452,8459,8466
81523,8426,8419,8412,8405,8398,8391,8433,8440,8447,8454,8461
