X,date,prec,snow,temp,aqi,co,no2,o3,pm10,pm,so2,t_asign,treat,hubei,day,month,year,daynum,north,city_code,judge,week,lead_lag_dummy
370,20200106,7.497358139,70.19545235,-0.7492798,77.083336,1.11375,55.875,18.833334,49.041668,58.958332,4.5416665,1,0,0,6,1,2020,8406,1,54613,1,-5,-4
377,20200113,0.161558638,67.52041248,-5.4845467,22.375,0.43208334,23.208334,53.5,23.5,15.25,6,1,0,0,13,1,2020,8413,1,54613,1,-4,-4
384,20200120,0.543508445,56.61537943,-2.6254795,27.833334,0.41208333,19.375,63.208332,46.541668,17.625,2.5,1,0,0,20,1,2020,8420,1,54613,1,-3,-3
391,20200127,0.627967423,66.17630357,-1.4543349,203.125,1.96125,37.916668,58.208332,149,164.91667,12.166667,1,0,0,27,1,2020,8427,1,54613,1,-2,-2
398,20200203,0.614309739,47.71916617,-4.3518367,31.458334,0.3125,9.375,66.583336,21.75,16.833334,2,1,0,0,3,2,2020,8434,1,54613,1,-1,-1
405,20200210,0.563458197,54.36912753,3.6180248,161,1.4316666,45.583332,41,107.833336,126.458336,4,1,1,0,10,2,2020,8441,1,54613,1,0,0
412,20200217,0.27911215,41.5170969,-1.9166995,22.5,0.21833333,6.2916665,68.583336,9.875,3.8333333,2,1,1,0,17,2,2020,8448,1,54613,1,1,1
419,20200224,2.949843679,39.59171245,4.546637,87.875,0.78625,39.166668,35.333332,67.958336,54.458332,5.9166665,1,1,0,24,2,2020,8455,1,54613,1,2,2
805,20200102,0.0144407,58.58718966,-2.015715,113.291664,1.41,82.416664,10.375,113.75,76.166664,13.75,1,0,0,2,1,2020,8402,1,6124,1,-5,-4
812,20200109,0.027075464,69.62389561,-0.2782898,127.583336,0.99666667,67.041664,21.958334,68.666664,60.916668,7.5833335,1,0,0,9,1,2020,8409,1,6124,1,-4,-4
819,20200116,0.040788955,56.06294038,-2.373457,278.625,2.1695833,79.791664,29.458334,195.04167,206.79167,13.416667,1,0,0,16,1,2020,8416,1,6124,1,-3,-3
826,20200123,0.062872542,69.52497901,1.8754482,205.375,1.98375,70.041664,37.458332,181.08333,190.875,11,1,0,0,23,1,2020,8423,1,6124,1,-2,-2
833,20200130,0.009732069,92.74327677,0.08425299,41.5,1.2991667,32.5,57.583332,39.625,47.25,15.375,1,0,0,30,1,2020,8430,1,6124,1,-1,-1
840,20200206,0.093057482,56.47612799,-4.1123033,39.208332,0.46916667,15.166667,62.625,23.041666,17.75,6.2083335,1,1,0,6,2,2020,8437,1,6124,1,0,0
847,20200213,0.165977625,29.87170778,8.682332,137.29167,1.205,43.375,39.583332,82.833336,98.125,10.833333,1,1,0,13,2,2020,8444,1,6124,1,1,1
854,20200220,0.033679672,61.46701754,3.194817,120.458336,1.1908333,35.125,52.75,76.458336,93.166664,6.125,1,1,0,20,2,2020,8451,1,6124,1,2,2
861,20200227,0.158285588,46.62318042,4.686703,33.791668,0.56874996,33.083332,56.833332,31.416666,21.416666,11.666667,1,1,0,27,2,2020,8458,1,6124,1,3,3
1244,20200102,0.11982914,42.09089858,-1.6235193,130.54167,1.7570833,70.041664,12.666667,152.20833,83.083336,28.166666,1,0,0,2,1,2020,8402,1,71005,1,-5,-4
1251,20200109,0.292367424,41.27267423,-1.8969172,195.375,2.6695833,65.166664,24.666666,171.41667,134.375,14.916667,1,0,0,9,1,2020,8409,1,71005,1,-4,-4
1258,20200116,0.378286599,40.97539015,-4.895271,289.875,2.9583335,87.791664,16.583334,319.5,228.91667,17.458334,1,0,0,16,1,2020,8416,1,71005,1,-3,-3
1265,20200123,0.550222387,55.98438618,1.3234663,197.79167,2.1979167,56.625,38.208332,181.5,126.875,19.541666,1,0,0,23,1,2020,8423,1,71005,1,-2,-2
1272,20200130,0.098400721,87.61743243,2.2213767,168.04167,1.8420833,31.125,70.333336,172.29167,139.33333,15.916667,1,0,0,30,1,2020,8430,1,71005,1,-1,-1
1279,20200206,0.679814426,43.03396715,-1.6050876,72.125,0.6225,12,58.333332,54.583332,38.541668,7.5,1,1,0,6,2,2020,8437,1,71005,1,0,0
1286,20200213,0.663104622,33.59105533,7.3256426,250.875,2.2725,42.541668,86.083336,232.5,188,16.25,1,1,0,13,2,2020,8444,1,71005,1,1,1
1293,20200220,0.143375608,57.67252887,5.902664,190.375,1.4654167,39.75,37,139.91667,107.5,10.375,1,1,0,20,2,2020,8451,1,71005,1,2,2
1300,20200227,1.9299066,25.44089414,3.4752018,55.291668,0.69416666,27.791666,49.166668,70.791664,41.958332,8.583333,1,1,0,27,2,2020,8458,1,71005,1,3,3
1688,20200107,12.81682357,46.42807938,-1.9814583,72.625,2.44125,58.75,27.541666,104.208336,80.291664,28,1,0,0,7,1,2020,8407,1,20585,1,-3,-3
1695,20200114,2.89149982,72.33840843,-5.9689655,88.916664,2.0991666,57.166668,21.708334,94.208336,46.166668,38.125,1,0,0,14,1,2020,8414,1,20585,1,-2,-2
1702,20200121,2.928781431,85.51908449,-1.6238991,86.333336,0.9225,50.916668,24.166666,67.416664,38,14.166667,1,0,0,21,1,2020,8421,1,20585,1,-1,-1
