"","X","date","prec","snow","temp","aqi","co","no2","o3","pm10","pm","so2","t_asign","treat","hubei","day","month","year","daynum","north","city_code","city","province_code","province"
"366",365,20200101,0.433082377144817,51.2394012003287,-6.2366734,52.416668,0.6716667,44.291668,13.708333,47.125,28.25,6.125,1,0,0,1,1,2020,8401,1,54613,"Beijing",110,"Beijing"
"367",366,20200102,0.395047851547125,51.7155395691803,-3.6370258,70.583336,1.0025,54.833332,10.5,68.208336,42.583332,7.4583335,1,0,0,2,1,2020,8402,1,54613,"Beijing",110,"Beijing"
"368",367,20200103,0.438016064833022,54.3239336672912,-0.86305463,70.083336,1.22,64.25,15.958333,77.333336,50.916668,7.3333335,1,0,0,3,1,2020,8403,1,54613,"Beijing",110,"Beijing"
"369",368,20200104,0.912422334544612,61.2615273586809,-2.0189233,61.291668,1.2225,62.5,24.291666,72.125,50.541668,8.833333,1,0,0,4,1,2020,8404,1,54613,"Beijing",110,"Beijing"
"370",369,20200105,46.815258477031,37.5568095816402,0.91604376,86.583336,1.1595833,59.916668,12.25,69.833336,49.291668,6.7083335,1,0,0,5,1,2020,8405,1,54613,"Beijing",110,"Beijing"
"371",370,20200106,7.4973581394223,70.1954523462117,-0.7492798,77.083336,1.11375,55.875,18.833334,49.041668,58.958332,4.5416665,1,0,0,6,1,2020,8406,1,54613,"Beijing",110,"Beijing"
"372",371,20200107,3.5774123311239,53.3979199702683,-3.353665,23.25,0.64625,31.958334,58.833332,25.083334,34.041668,3.7916667,1,0,0,7,1,2020,8407,1,54613,"Beijing",110,"Beijing"
"373",372,20200108,1.14850569349581,32.2774742051396,-3.4438035,28.583334,0.37333333,21.333334,61.333332,18.666666,11.75,3.7916667,1,0,0,8,1,2020,8408,1,54613,"Beijing",110,"Beijing"
"374",373,20200109,0.674407324983068,69.8246213023011,-3.707177,49.791668,0.6191667,41.083332,30.416666,30.791666,24.208334,5.125,1,0,0,9,1,2020,8409,1,54613,"Beijing",110,"Beijing"
"375",374,20200110,1.21137216458863,72.9336199623815,-1.1818169,42.833332,0.8145833,47.833332,34.75,43.791668,39.083332,7.0416665,1,0,0,10,1,2020,8410,1,54613,"Beijing",110,"Beijing"
"376",375,20200111,3.25600340764645,68.5567992498717,-2.8924527,22.583334,0.39333335,21.125,59.5,22.333334,13.666667,4.7083335,1,0,0,11,1,2020,8411,1,54613,"Beijing",110,"Beijing"
"377",376,20200112,0.621429271834013,68.1539373238084,-5.3644133,30.208334,0.45374998,32.708332,33,23.833334,15.291667,5.0416665,1,0,0,12,1,2020,8412,1,54613,"Beijing",110,"Beijing"
"378",377,20200113,0.161558637529294,67.5204124788002,-5.4845467,22.375,0.43208334,23.208334,53.5,23.5,15.25,6,1,0,0,13,1,2020,8413,1,54613,"Beijing",110,"Beijing"
"379",378,20200114,0.987220372685457,64.5882174269043,-6.908367,27.666666,0.365,20.333334,53.166668,20.833334,11.541667,4,1,0,0,14,1,2020,8414,1,54613,"Beijing",110,"Beijing"
"380",379,20200115,1.65633669401863,64.0418352457498,-7.248985,65.041664,0.6408333,43.375,20.25,38.791668,29.083334,5.2916665,1,0,0,15,1,2020,8415,1,54613,"Beijing",110,"Beijing"
"381",380,20200116,1.04581179560069,57.5570375090659,-5.7164817,59.416668,0.91375,52.625,34.791668,56.583332,50.791668,7.1666665,1,0,0,16,1,2020,8416,1,54613,"Beijing",110,"Beijing"
"382",381,20200117,0.365377745233743,77.7543158666919,-5.4957867,89.583336,1.195,54.541668,18.708334,58.75,49.208332,9.791667,1,0,0,17,1,2020,8417,1,54613,"Beijing",110,"Beijing"
"383",382,20200118,0.375821019216767,67.188681441814,-4.1576004,191.33333,1.7066667,66.75,19.166666,111.333336,110.708336,8.75,1,0,0,18,1,2020,8418,1,54613,"Beijing",110,"Beijing"
"384",383,20200119,2.19102089537052,61.3803976188136,-4.081419,61.958332,1.2466667,40.583332,65.583336,113.875,93.125,2.8333333,1,0,0,19,1,2020,8419,1,54613,"Beijing",110,"Beijing"
"385",384,20200120,0.543508444646104,56.6153794293623,-2.6254795,27.833334,0.41208333,19.375,63.208332,46.541668,17.625,2.5,1,0,0,20,1,2020,8420,1,54613,"Beijing",110,"Beijing"
"386",385,20200121,1.1874928723429,70.1158280050584,-2.4083545,59.5,0.5708333,29.291666,32.666668,40,24.958334,3.8333333,1,0,0,21,1,2020,8421,1,54613,"Beijing",110,"Beijing"
"387",386,20200122,0.997426143875647,67.8909253450246,-1.9385344,90.947365,0.9984211,47.63158,27.736841,63,55.57895,7.4736843,1,0,0,22,1,2020,8422,1,54613,"Beijing",110,"Beijing"
"388",387,20200123,1.55376975849477,63.4678013827684,-2.4382598,74,1.0720834,45.625,40.166668,67.75,66.083336,7.7083335,1,0,0,23,1,2020,8423,1,54613,"Beijing",110,"Beijing"
"389",388,20200124,1.89140437429984,60.9941496467275,-1.3661582,103.416664,0.8125,25.5,58.791668,70.416664,65.041664,5.4583335,1,0,0,24,1,2020,8424,1,54613,"Beijing",110,"Beijing"
"390",389,20200125,2.14017785293723,68.0540769273234,-3.538245,182.95833,0.7966667,25.041666,51.458332,118.333336,108.166664,8.625,1,0,0,25,1,2020,8425,1,54613,"Beijing",110,"Beijing"
"391",390,20200126,2.22461430216779,64.8771054147958,-2.6430886,190.66667,1.1858333,34.541668,51.708332,141.58333,136.5,9.083333,1,0,0,26,1,2020,8426,1,54613,"Beijing",110,"Beijing"
"392",391,20200127,0.627967423121392,66.176303571243,-1.4543349,203.125,1.96125,37.916668,58.208332,149,164.91667,12.166667,1,0,0,27,1,2020,8427,1,54613,"Beijing",110,"Beijing"
"393",392,20200128,0.758446570891207,64.917174534225,-0.6390977,212.875,1.71,36.958332,67.166664,131.04167,152.83333,9.833333,1,0,0,28,1,2020,8428,1,54613,"Beijing",110,"Beijing"
